sourceid-year-oa,source_id,journal_name,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
556_2015_gold,556,Advanced Science,Wiley,2015,gold,NATURAL SCIENCES,38,4500,171000
17729_2017_hybrid,17729,Molecular Microbiology,Wiley,2017,hybrid,NATURAL SCIENCES,33,4500,148500
23481_2016_hybrid,23481,Statistics in Medicine,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,25.8,4500,116100
9855_2017_hybrid,9855,Human Mutation,Wiley,2017,hybrid,NATURAL SCIENCES,25,4500,112500
23481_2017_hybrid,23481,Statistics in Medicine,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,22.2,4500,99900
9855_2016_hybrid,9855,Human Mutation,Wiley,2016,hybrid,NATURAL SCIENCES,21,4500,94500
1161_2018_hybrid,1161,Alimentary Pharmacology & Therapeutics,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,20,4500,90000
4448_2016_hybrid,4448,Cellular Microbiology,Wiley,2016,hybrid,NATURAL SCIENCES,18,4500,81000
23481_2016_hybrid,23481,Statistics in Medicine,Wiley,2016,hybrid,NATURAL SCIENCES,17.2,4500,77400
11725_2016_hybrid,11725,International Journal of Clinical Practice,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,17,4500,76500
4448_2015_hybrid,4448,Cellular Microbiology,Wiley,2015,hybrid,NATURAL SCIENCES,17,4500,76500
23481_2015_hybrid,23481,Statistics in Medicine,Wiley,2015,hybrid,MEDICAL AND HEALTH SCIENCES,16.8,4500,75600
11725_2017_hybrid,11725,International Journal of Clinical Practice,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,16,4500,72000
23481_2017_hybrid,23481,Statistics in Medicine,Wiley,2017,hybrid,NATURAL SCIENCES,14.8,4500,66600
13417_2018_hybrid,13417,Journal of Cellular Physiology,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,13.5,4500,60750
